Attendance,Assignment_Completion,Quiz_Average,Previous_Marks,Study_Hours,Risk_Level
72.9,79.0,86.4,79.2,13.2,Low Risk
53.3,71.1,77.9,51.8,10.1,Medium Risk
49.6,50.5,54.2,50.4,9.0,High Risk
73.9,76.5,72.6,61.3,19.9,Low Risk
65.3,59.2,68.5,53.3,12.7,Medium Risk
85.5,74.2,63.7,85.4,17.4,Medium Risk
69.1,71.5,66.5,80.1,12.3,Medium Risk
97.6,96.4,83.7,88.5,18.2,Low Risk
59.8,74.9,49.2,56.9,14.4,High Risk
61.7,60.8,55.6,44.5,8.6,Medium Risk
74.5,73.2,73.1,80.1,8.2,Low Risk
68.3,64.4,79.8,61.7,12.8,Medium Risk
88.9,91.1,96.3,96.0,19.5,Low Risk
82.0,82.2,84.3,91.4,15.1,Low Risk
74.6,77.5,80.4,74.1,20.7,Medium Risk
100.0,100.0,90.9,100.0,22.2,Low Risk
54.5,46.4,53.9,45.4,12.5,High Risk
60.8,65.0,49.1,55.8,10.9,Medium Risk
40.2,67.9,57.6,42.5,8.7,High Risk
58.5,65.2,69.8,73.6,7.3,Medium Risk
50.4,75.1,37.9,37.2,6.2,High Risk
74.7,75.4,78.8,83.6,16.2,Low Risk
81.3,70.2,57.0,64.4,6.4,High Risk
49.9,39.2,38.1,32.4,3.5,High Risk
69.4,50.9,38.3,45.0,6.6,High Risk
76.9,77.4,88.2,89.5,16.2,Medium Risk
84.1,91.9,94.2,85.5,19.0,Medium Risk
99.2,100.0,100.0,91.8,20.7,Low Risk
100.0,100.0,100.0,100.0,29.4,Low Risk
93.3,75.2,72.4,74.4,14.3,Low Risk
40.0,51.5,88.5,90.2,2.0,Medium Risk
40.0,67.8,31.2,35.9,2.0,High Risk
70.9,78.4,75.3,69.4,18.7,Medium Risk
60.7,49.9,50.2,70.8,2.2,Medium Risk
72.4,56.1,65.8,41.7,11.4,High Risk
67.7,50.4,68.2,59.6,16.3,High Risk
66.6,78.2,64.4,88.5,9.3,Medium Risk
96.1,82.0,100.0,85.8,18.3,Low Risk
83.5,73.8,73.4,52.6,8.6,Low Risk
71.4,66.9,68.7,61.9,18.7,Medium Risk
66.2,62.5,40.5,67.4,7.5,High Risk
51.0,35.6,46.2,44.7,4.8,High Risk
60.1,50.9,58.6,51.5,16.0,High Risk
77.5,71.7,59.8,60.5,15.4,Low Risk
97.7,100.0,87.0,92.9,18.3,Low Risk
73.8,75.6,100.0,75.2,11.1,Medium Risk
99.0,75.8,80.6,100.0,19.9,Low Risk
43.0,70.0,42.5,72.1,8.0,High Risk
42.7,44.0,40.7,53.9,2.0,High Risk
47.8,49.8,51.9,37.9,8.0,High Risk
58.6,48.7,63.0,42.1,3.5,High Risk
99.5,100.0,100.0,100.0,30.0,Low Risk
46.9,64.6,63.0,40.2,9.6,High Risk
74.9,89.2,73.7,80.8,13.6,Low Risk
51.6,70.2,57.6,57.0,5.7,High Risk
100.0,100.0,72.4,72.3,10.1,Low Risk
93.6,57.0,66.7,64.3,10.5,High Risk
66.1,59.5,54.5,65.3,16.3,Medium Risk
68.2,62.6,53.1,73.8,21.7,Low Risk
52.5,50.8,70.3,69.5,12.6,Medium Risk
61.1,64.8,83.4,83.3,14.9,High Risk
64.6,59.9,72.4,62.1,9.0,High Risk
45.9,38.2,48.9,40.0,3.0,High Risk
53.3,54.5,56.9,35.5,14.8,Medium Risk
60.0,73.2,49.6,66.3,13.1,Medium Risk
87.2,99.0,100.0,100.0,29.4,Low Risk
75.6,78.0,72.7,75.4,19.4,Low Risk
73.6,74.9,73.6,43.9,5.4,High Risk
79.8,70.2,77.1,65.2,11.8,Medium Risk
78.4,100.0,77.1,100.0,16.9,Low Risk
82.8,75.9,53.5,73.6,13.8,Low Risk
59.0,43.3,52.9,46.4,10.7,High Risk
93.2,75.6,92.5,100.0,30.0,Low Risk
77.9,57.3,83.1,76.0,10.8,Low Risk
81.1,93.2,76.2,99.3,21.6,Low Risk
71.7,71.4,59.2,76.5,16.4,Medium Risk
58.1,46.5,39.7,44.1,6.9,High Risk
58.4,71.6,41.8,37.7,6.6,Medium Risk
93.8,100.0,78.1,100.0,17.1,Low Risk
100.0,100.0,78.5,100.0,22.0,Low Risk
78.6,57.1,55.3,75.0,14.1,Medium Risk
64.3,53.3,62.9,68.8,12.4,High Risk
99.2,92.3,77.2,82.8,22.6,Low Risk
73.9,55.3,48.9,64.2,13.1,High Risk
77.1,36.2,66.4,44.5,12.3,High Risk
70.0,77.7,62.7,83.1,16.5,Low Risk
58.1,64.2,59.2,44.3,6.3,High Risk
85.3,67.6,80.2,46.5,10.6,Medium Risk
60.2,58.6,60.4,69.7,11.3,Medium Risk
64.8,69.1,66.5,65.8,15.7,Low Risk
87.3,89.2,100.0,71.0,18.1,Low Risk
77.1,72.4,65.8,76.5,9.7,Medium Risk
80.1,86.3,91.6,100.0,11.5,Low Risk
40.0,51.1,40.3,49.4,2.0,High Risk
65.3,66.0,63.1,65.3,11.8,High Risk
53.8,52.3,60.3,54.8,2.9,Medium Risk
47.0,56.5,52.3,58.0,2.9,High Risk
80.2,63.5,66.2,66.4,7.0,Medium Risk
70.0,60.2,56.1,59.5,6.0,High Risk
92.8,92.4,83.1,84.9,19.1,Low Risk
49.0,60.9,46.0,49.8,9.3,High Risk
70.8,84.7,76.9,75.6,11.0,Low Risk
58.8,82.3,48.0,59.3,8.8,Medium Risk
43.5,55.6,75.0,62.1,13.5,Medium Risk
73.6,85.2,89.6,100.0,15.2,Low Risk
63.2,78.2,60.8,91.5,12.6,Medium Risk
70.5,89.0,100.0,97.0,24.5,Low Risk
59.1,60.5,92.3,85.3,15.8,Low Risk
74.2,43.2,68.9,52.9,11.9,High Risk
68.5,67.7,81.5,83.0,15.6,Low Risk
87.0,65.2,72.9,79.1,6.3,Medium Risk
78.2,73.6,50.9,100.0,19.3,Low Risk
63.9,45.0,30.0,37.4,9.1,High Risk
65.2,59.3,72.5,63.0,17.5,Medium Risk
79.9,76.0,64.5,77.5,15.7,Medium Risk
100.0,100.0,97.3,100.0,25.8,Low Risk
93.1,100.0,97.3,100.0,21.3,Low Risk
65.1,81.2,61.7,47.1,10.2,High Risk
73.1,68.7,46.0,74.1,10.3,Medium Risk
46.6,53.4,39.2,56.9,9.2,High Risk
53.6,49.3,76.7,66.7,3.7,Medium Risk
65.8,60.6,60.1,63.8,12.4,Medium Risk
89.7,100.0,97.7,100.0,27.2,Low Risk
64.7,48.9,50.5,70.1,6.9,High Risk
55.7,48.7,64.1,64.5,8.8,High Risk
42.2,37.4,46.8,34.7,2.0,High Risk
74.9,66.6,74.3,68.7,13.5,Medium Risk
62.7,44.1,61.9,50.1,4.7,High Risk
78.6,58.7,45.7,67.0,9.6,High Risk
71.2,70.4,67.3,54.4,12.0,Medium Risk
61.7,59.7,56.3,58.1,9.7,High Risk
62.5,30.0,43.0,30.0,7.4,High Risk
46.7,58.4,47.6,35.8,9.0,High Risk
100.0,100.0,100.0,100.0,27.9,Low Risk
54.6,43.9,51.4,46.8,7.1,High Risk
52.9,36.1,40.3,52.7,20.5,High Risk
81.4,89.4,81.2,100.0,26.4,Low Risk
100.0,100.0,100.0,100.0,28.8,Low Risk
41.6,65.2,51.5,65.2,3.6,High Risk
75.6,53.1,75.9,59.8,10.8,Medium Risk
90.4,74.2,72.9,70.0,20.4,Low Risk
89.0,100.0,78.8,100.0,28.5,Low Risk
60.9,30.0,63.8,32.0,14.0,High Risk
62.0,77.7,59.6,56.1,14.9,Medium Risk
77.2,68.7,84.5,93.0,11.9,Low Risk
85.1,80.2,67.2,57.3,17.1,Medium Risk
66.4,67.1,81.7,74.9,6.2,Medium Risk
85.8,79.9,55.3,83.3,6.4,Medium Risk
48.4,55.4,42.0,41.6,7.1,High Risk
77.7,40.3,65.5,68.2,13.9,High Risk
69.1,57.4,50.6,76.8,15.3,Medium Risk
82.4,75.0,75.7,67.8,16.1,Medium Risk
60.2,59.5,78.5,69.1,12.3,Medium Risk
78.2,82.3,69.7,69.6,11.4,Medium Risk
85.1,93.9,88.9,81.0,17.6,Low Risk
66.7,79.0,37.5,62.8,7.7,Medium Risk
82.9,72.9,73.2,78.7,6.7,Low Risk
78.6,50.5,65.1,82.6,16.2,Medium Risk
77.3,65.0,58.2,67.0,10.0,Medium Risk
75.7,63.8,69.4,42.7,12.9,Medium Risk
89.5,62.8,69.1,62.5,19.0,High Risk
67.3,75.5,64.3,71.7,10.0,Medium Risk
100.0,100.0,97.0,100.0,25.8,Low Risk
88.4,95.0,70.2,100.0,18.2,Low Risk
77.6,42.1,60.6,71.3,7.5,Medium Risk
55.9,44.5,67.3,64.5,9.7,Medium Risk
71.0,74.1,30.0,47.5,5.6,Medium Risk
91.9,81.9,77.9,85.1,17.2,Low Risk
73.7,52.1,67.4,62.9,22.2,High Risk
89.5,90.8,96.6,92.7,9.3,Low Risk
40.0,44.0,49.3,30.0,5.8,High Risk
66.9,96.1,76.2,93.5,13.7,Low Risk
85.5,79.9,90.9,71.6,18.9,Medium Risk
57.0,58.4,41.3,45.6,8.6,High Risk
67.7,66.9,72.6,79.6,12.2,Medium Risk
63.8,81.6,55.9,65.6,10.5,Medium Risk
72.5,95.8,81.7,62.4,10.2,Medium Risk
85.9,76.3,58.5,62.6,15.2,Medium Risk
78.0,51.1,54.0,71.8,19.6,Medium Risk
70.0,71.1,61.4,59.9,13.7,Medium Risk
70.2,84.8,73.8,54.3,10.2,Low Risk
89.0,100.0,85.6,84.5,21.7,Low Risk
40.0,30.0,33.6,39.5,9.9,High Risk
71.0,79.3,57.2,65.8,12.2,High Risk
82.1,82.9,78.3,77.0,19.7,Medium Risk
62.0,100.0,78.0,71.2,11.5,Medium Risk
60.8,56.2,61.3,55.4,11.0,High Risk
40.0,38.1,34.6,57.6,6.7,High Risk
67.9,71.6,75.1,72.5,16.2,Medium Risk
96.7,90.5,100.0,93.5,18.6,Low Risk
40.0,37.2,68.2,55.0,2.1,High Risk
89.6,52.6,93.1,75.7,21.3,Low Risk
74.2,60.3,74.5,56.9,16.1,High Risk
68.9,73.1,100.0,68.1,18.7,Low Risk
40.0,48.8,57.3,51.1,15.0,Medium Risk
58.3,86.3,68.5,66.2,11.9,High Risk
100.0,89.6,97.2,100.0,18.3,Low Risk
55.2,92.9,65.2,82.6,21.3,Low Risk
93.1,98.9,90.4,72.3,24.5,Low Risk
77.9,96.8,80.8,92.6,15.0,Low Risk
85.4,79.7,82.8,76.9,11.1,Low Risk
90.3,100.0,93.8,99.1,23.7,Low Risk
81.8,77.2,76.7,79.2,14.5,Low Risk
88.7,87.9,94.3,82.8,17.0,Low Risk
84.4,69.6,73.6,63.4,15.8,Low Risk
71.1,67.8,67.1,76.9,16.4,Medium Risk
65.6,64.0,48.8,51.2,14.8,High Risk
72.5,100.0,97.5,75.4,10.2,Medium Risk
66.2,49.4,58.4,82.2,8.1,Medium Risk
76.1,86.3,61.2,74.4,19.7,Medium Risk
64.3,81.0,61.2,66.9,5.9,Medium Risk
88.2,100.0,88.7,72.5,16.2,Low Risk
68.4,81.4,89.4,83.0,13.4,Medium Risk
99.5,71.1,100.0,89.7,22.2,Low Risk
90.9,86.6,83.1,76.6,23.2,Low Risk
52.6,30.0,49.9,53.8,13.2,High Risk
56.8,85.2,67.7,73.1,9.4,Medium Risk
54.5,54.3,41.2,55.3,9.2,High Risk
71.4,73.2,56.6,40.7,12.6,Medium Risk
76.3,82.7,92.4,100.0,22.1,Low Risk
71.3,62.5,77.8,66.7,17.8,Medium Risk
70.1,62.4,34.2,73.9,10.7,High Risk
60.2,54.4,47.0,63.0,14.7,High Risk
76.2,65.1,69.2,75.9,17.6,Medium Risk
71.7,52.7,45.2,38.9,2.7,High Risk
66.8,90.4,54.3,59.3,12.8,Medium Risk
82.3,83.9,78.8,69.1,18.1,Medium Risk
100.0,98.9,73.5,89.0,20.0,Low Risk
78.6,88.4,58.2,76.6,20.6,Low Risk
40.0,51.9,30.0,30.0,2.3,High Risk
80.1,72.5,82.0,86.5,15.3,Medium Risk
77.0,48.5,89.4,69.3,13.8,Medium Risk
73.1,74.1,84.0,70.7,7.0,Medium Risk
85.3,100.0,76.2,90.3,20.8,Low Risk
63.9,30.0,32.2,37.9,2.0,High Risk
66.7,59.2,61.6,49.1,5.3,High Risk
73.7,71.3,79.6,54.2,21.7,Medium Risk
58.1,62.8,49.2,46.6,7.1,High Risk
91.7,100.0,80.6,99.8,20.3,Low Risk
74.9,82.7,74.7,73.1,12.6,Low Risk
88.9,89.5,86.6,70.8,18.4,Low Risk
52.4,61.0,68.8,60.3,14.1,Medium Risk
86.6,84.4,71.4,66.7,13.8,Medium Risk
100.0,73.0,81.0,75.9,18.3,Low Risk
79.5,49.4,39.3,64.7,17.6,Medium Risk
71.9,75.2,64.3,82.3,6.4,Medium Risk
71.2,77.6,66.0,69.6,14.1,Low Risk
56.2,70.4,42.0,49.4,7.0,High Risk
67.6,85.1,67.6,88.0,11.7,Medium Risk
66.5,85.0,64.9,70.3,10.2,Low Risk
85.6,64.8,47.0,79.2,15.5,Low Risk
70.4,81.1,86.6,81.9,25.7,Low Risk
64.9,59.4,39.9,44.4,6.4,High Risk
66.8,96.0,71.8,42.8,13.5,Medium Risk
96.1,100.0,76.3,100.0,28.4,Low Risk
51.4,71.2,56.5,61.3,7.1,Medium Risk
72.4,53.4,51.4,53.1,16.1,High Risk
86.0,63.3,74.9,70.9,14.0,Medium Risk
92.5,91.3,83.0,91.5,24.3,Low Risk
58.5,58.1,65.1,52.1,16.1,Medium Risk
98.1,87.3,70.8,85.1,20.9,Low Risk
87.6,81.6,64.0,71.1,17.0,Medium Risk
69.3,100.0,74.5,100.0,14.7,Low Risk
79.5,74.4,76.8,88.1,16.1,Medium Risk
100.0,78.1,97.9,84.3,28.2,Low Risk
74.1,72.5,72.2,48.9,11.9,High Risk
45.5,32.3,32.6,33.5,2.0,High Risk
97.1,94.5,82.1,91.1,20.0,Low Risk
78.9,62.2,57.3,46.7,14.7,Medium Risk
84.5,68.6,72.4,92.2,18.4,Low Risk
64.5,98.3,92.9,94.7,16.9,Low Risk
46.7,30.0,64.9,47.0,2.3,High Risk
53.0,45.5,39.9,40.1,8.3,High Risk
40.0,53.5,41.5,49.7,11.1,High Risk
61.7,51.3,60.4,51.3,13.6,Medium Risk
89.4,58.9,74.8,73.4,10.2,Low Risk
69.6,85.2,70.4,84.6,14.6,Medium Risk
78.9,86.5,53.8,55.8,10.7,Medium Risk
44.0,48.3,39.3,62.6,4.9,High Risk
40.0,30.0,30.0,31.7,7.9,High Risk
86.1,78.6,48.2,84.0,7.6,Medium Risk
60.5,44.7,50.9,49.2,4.2,High Risk
82.6,80.3,62.8,66.7,12.0,Medium Risk
65.0,70.8,86.2,68.2,17.7,Low Risk
90.7,59.3,77.4,74.1,16.2,Medium Risk
88.1,76.5,69.3,82.6,18.6,Low Risk
73.6,71.4,68.5,67.8,18.8,Medium Risk
84.6,70.9,54.2,66.9,8.6,High Risk
49.4,65.9,50.8,43.1,14.2,High Risk
80.1,62.4,69.9,65.4,10.9,Medium Risk
71.8,83.7,81.0,67.2,16.9,Medium Risk
81.7,85.4,72.6,75.4,11.8,Low Risk
62.1,56.4,74.3,79.3,11.1,High Risk
74.1,68.3,58.2,77.0,16.6,Medium Risk
74.5,47.9,48.8,78.5,16.3,Medium Risk
72.7,71.4,74.6,61.1,6.1,Medium Risk
89.5,78.5,100.0,85.8,17.3,Low Risk
44.0,30.0,42.0,34.5,2.0,High Risk
58.5,44.7,46.8,30.0,8.5,High Risk
47.5,37.9,30.0,59.5,8.7,High Risk
59.4,52.3,30.0,30.0,6.5,High Risk
48.4,41.1,58.7,65.7,7.5,High Risk
93.8,65.4,75.7,73.5,20.5,Low Risk
80.3,77.9,50.2,62.3,17.0,High Risk
67.1,87.9,72.0,62.8,7.4,High Risk
100.0,78.1,86.8,100.0,20.9,Low Risk
99.5,83.0,100.0,95.0,23.5,Low Risk
79.8,75.7,68.5,71.9,11.6,Low Risk
91.2,64.7,100.0,100.0,14.9,Low Risk
71.3,50.9,69.6,83.3,17.2,Medium Risk
58.4,54.4,53.2,63.2,4.0,High Risk
67.2,78.1,71.3,43.3,9.3,High Risk
63.9,43.0,32.6,36.2,5.4,High Risk
61.2,57.8,87.6,42.9,11.4,High Risk
58.8,77.1,66.8,70.9,8.7,Medium Risk
90.7,100.0,85.4,84.5,14.3,Low Risk
100.0,89.5,100.0,83.0,22.0,Low Risk
58.5,49.1,68.4,43.4,10.1,Medium Risk
84.2,95.9,83.8,59.2,24.1,Low Risk
55.0,37.6,32.1,50.7,2.0,High Risk
70.3,88.4,92.4,58.9,16.6,Low Risk
62.4,56.8,61.8,72.6,8.0,High Risk
40.0,43.7,40.0,42.0,7.9,High Risk
87.1,81.3,67.5,100.0,13.9,Low Risk
62.8,50.4,64.6,68.0,7.3,High Risk
60.6,51.2,51.6,55.3,8.0,High Risk
40.0,57.0,52.1,59.8,7.3,High Risk
51.6,71.1,54.1,42.5,11.0,High Risk
88.1,75.0,97.9,65.7,17.1,Low Risk
63.4,67.9,88.8,69.4,12.0,Medium Risk
79.8,81.2,73.8,50.8,9.3,Medium Risk
64.6,64.7,74.6,74.7,17.7,Low Risk
100.0,97.9,84.6,80.2,19.4,Low Risk
65.9,73.9,75.8,64.3,15.9,Medium Risk
53.9,76.5,40.4,32.0,2.8,High Risk
100.0,81.9,80.0,91.8,11.9,Low Risk
81.0,60.0,74.4,63.6,11.2,Medium Risk
84.8,95.2,79.4,100.0,23.8,Low Risk
72.0,84.8,73.7,75.6,15.6,Low Risk
67.2,62.1,46.9,58.3,11.5,Medium Risk
81.5,70.8,82.0,72.2,11.3,Low Risk
98.4,100.0,100.0,87.4,29.8,Low Risk
97.5,92.1,100.0,100.0,19.3,Low Risk
86.2,66.5,86.7,76.7,10.4,Low Risk
73.2,73.4,60.4,98.9,16.1,Medium Risk
100.0,97.1,88.1,80.5,11.0,Low Risk
61.0,50.7,43.2,51.7,13.9,High Risk
92.7,54.7,70.6,68.3,17.2,Medium Risk
74.9,48.5,76.9,70.9,16.5,Low Risk
85.1,60.9,74.2,78.5,16.8,Low Risk
53.8,43.1,37.7,54.2,8.2,High Risk
42.1,44.5,30.0,53.9,2.0,High Risk
47.1,30.0,30.0,30.0,2.1,High Risk
65.3,45.5,56.0,60.9,3.5,High Risk
65.9,54.6,85.4,67.1,12.7,High Risk
56.3,60.8,79.7,63.9,14.8,Medium Risk
86.9,100.0,76.2,98.5,28.6,Low Risk
74.6,93.9,100.0,100.0,20.0,Low Risk
42.6,55.7,63.8,43.7,11.9,Medium Risk
77.9,70.1,55.0,78.2,13.5,Low Risk
76.4,59.1,57.8,53.8,9.1,Medium Risk
67.9,69.3,76.6,83.8,13.5,Medium Risk
54.3,79.2,77.6,81.9,12.4,Medium Risk
79.0,69.3,62.2,72.1,17.2,High Risk
65.8,65.3,69.9,68.9,7.1,High Risk
100.0,63.6,59.4,89.9,14.8,Low Risk
42.9,55.2,47.1,43.9,9.8,High Risk
68.6,78.5,81.8,77.4,16.6,Medium Risk
100.0,100.0,100.0,100.0,22.0,Low Risk
79.2,93.3,65.6,75.2,16.8,Low Risk
97.1,81.8,100.0,92.9,18.0,Low Risk
74.3,73.8,81.2,75.3,13.5,Medium Risk
83.1,78.3,93.0,81.4,21.6,Low Risk
78.2,68.0,77.6,68.7,15.9,Low Risk
62.3,66.2,78.2,59.1,15.3,Medium Risk
69.0,59.5,64.3,74.4,16.7,Medium Risk
65.7,85.8,78.1,64.8,12.3,Medium Risk
63.0,72.4,55.4,59.2,4.8,High Risk
82.9,80.0,75.8,76.8,13.4,Medium Risk
81.6,95.2,70.8,100.0,17.4,Low Risk
76.9,67.8,62.4,65.3,5.4,Medium Risk
62.4,74.1,60.0,56.0,10.7,High Risk
68.7,68.4,78.2,66.0,13.1,Medium Risk
64.5,77.4,80.4,67.3,14.6,Medium Risk
75.2,100.0,82.5,69.8,19.1,Medium Risk
49.3,41.2,50.7,32.6,2.0,High Risk
57.0,40.8,75.6,39.6,13.7,High Risk
50.5,34.1,33.4,37.8,5.9,High Risk
40.4,61.1,51.2,38.1,2.5,High Risk
86.0,96.5,86.9,75.8,17.8,Low Risk
78.9,86.2,98.2,96.2,8.6,Low Risk
73.9,70.3,64.1,42.4,5.0,Low Risk
53.9,52.8,30.0,52.2,2.5,High Risk
40.0,38.9,30.0,30.0,2.0,High Risk
68.9,72.0,79.1,77.4,6.5,Low Risk
86.9,100.0,100.0,100.0,23.0,Low Risk
77.7,80.5,80.3,65.3,10.3,Medium Risk
82.1,71.6,65.6,49.4,10.9,High Risk
79.7,73.6,63.0,83.6,17.0,Low Risk
50.8,40.0,49.2,39.6,6.8,High Risk
72.8,84.3,46.5,62.1,11.6,High Risk
81.5,73.9,62.1,84.7,7.3,Medium Risk
52.8,77.6,79.5,59.3,10.1,Medium Risk
67.9,83.2,84.9,83.4,15.3,Medium Risk
78.7,68.7,69.9,85.4,13.1,Medium Risk
74.9,80.1,84.1,89.3,16.6,Medium Risk
74.2,75.5,56.3,55.5,15.3,High Risk
81.7,89.6,82.5,81.1,20.7,Low Risk
77.4,75.6,100.0,77.6,17.2,Low Risk
47.0,53.1,43.7,40.9,10.9,High Risk
40.0,76.3,54.3,57.4,11.1,High Risk
88.6,87.7,85.6,90.2,16.5,Low Risk
67.6,47.3,45.9,66.6,15.4,Medium Risk
87.8,100.0,79.4,100.0,19.4,Low Risk
75.5,70.9,79.7,48.4,5.1,Medium Risk
100.0,91.1,95.9,91.1,22.1,Low Risk
72.3,67.9,54.2,73.3,14.5,Medium Risk
56.4,85.8,53.6,65.6,13.4,Medium Risk
99.5,87.5,91.7,100.0,20.7,Low Risk
71.9,77.2,80.9,72.8,8.3,Medium Risk
61.6,61.8,50.7,56.2,10.7,High Risk
74.6,66.0,76.5,81.1,10.6,Low Risk
67.8,78.4,79.5,60.2,15.9,Low Risk
